time_ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
3930,1,176,248,255,255,0,0,0
3940,1,175,249,255,255,0,0,0
3950,0,174,250,255,255,0,0,0
3960,0,173,251,255,255,0,0,0
3970,0,173,252,255,255,0,0,0
3980,0,172,253,255,255,0,0,0
3990,0,171,254,255,255,0,0,0
4000,0,170,254,255,255,0,0,0
4010,0,169,0,0,255,0,0,0
4020,0,168,0,1,255,0,0,0
4030,0,167,0,2,255,0,0,0
4040,0,167,0,3,255,0,0,0
4050,0,166,0,4,255,0,0,0
4060,0,165,0,5,255,0,0,0
4070,1,164,0,6,255,0,0,0
4080,1,163,0,7,255,0,0,0
4090,1,162,0,8,255,0,0,0
4100,1,162,0,9,255,0,0,0
4110,2,161,0,10,255,0,0,0
4120,2,160,0,11,255,0,0,0
4130,2,159,0,12,255,0,0,0
4140,3,158,0,13,255,0,0,0
4150,3,157,0,14,255,0,0,0
4160,4,156,0,15,255,0,0,0
4170,4,156,1,16,255,0,0,0
4180,5,155,1,17,255,0,0,0
4190,5,154,1,18,255,0,0,0
4200,6,153,1,19,255,0,0,0
4210,6,152,1,20,255,0,0,0
4220,7,151,1,21,255,0,0,0
4230,8,150,1,22,255,0,0,0
4240,8,150,1,23,255,0,0,0
4250,9,149,1,24,255,0,0,0
4260,10,148,1,25,255,0,0,0
4270,10,147,1,26,255,0,0,0
4280,11,146,1,27,255,0,0,0
4290,12,145,2,28,255,0,0,0
4300,13,144,2,29,255,0,0,0
4310,14,144,2,30,255,0,0,0
4320,15,143,2,31,255,0,0,0
4330,16,142,2,32,255,0,0,0
4340,17,141,2,33,255,0,0,0
4350,18,140,2,34,255,0,0,0
4360,19,139,2,35,255,0,0,0
4370,20,139,3,36,255,0,0,0
4380,21,138,3,37,255,0,0,0
4390,22,137,3,38,255,0,0,0
4400,23,136,3,39,255,0,0,0
4410,24,135,3,40,255,0,0,0
4420,26,134,3,41,255,0,0,0
4430,27,133,3,42,255,0,0,0
4440,28,133,4,43,255,0,0,0
4450,29,132,4,44,255,0,0,0
4460,31,131,4,45,255,0,0,0
4470,32,130,4,46,255,0,0,0
4480,33,129,4,47,255,0,0,0
4490,35,128,5,48,255,0,0,0
4500,36,128,5,49,255,0,0,0
4510,37,127,5,50,255,0,0,0
4520,39,126,5,51,255,0,0,0
4530,40,125,5,52,255,0,0,0
4540,42,124,6,53,255,0,0,0
4550,43,123,6,54,255,0,0,0
4560,45,122,6,55,255,0,0,0
4570,46,122,6,56,255,0,0,0
4580,48,121,6,57,255,0,0,0
4590,49,120,7,58,255,0,0,0
4600,51,119,7,59,255,0,0,0
4610,53,118,7,60,255,0,0,0
4620,54,117,7,61,255,0,0,0
4630,56,116,8,61,255,0,0,0
4640,57,116,8,62,255,0,0,0
4650,59,115,8,63,255,0,0,0
4660,61,114,8,64,255,0,0,0
4670,63,113,9,65,255,0,0,0
4680,64,112,9,66,255,0,0,0
4690,66,111,9,67,255,0,0,0
4700,68,110,9,68,255,0,0,0
4710,70,110,10,69,255,0,0,0
4720,71,109,10,70,255,0,0,0
4730,73,108,10,71,255,0,0,0
4740,75,107,10,72,255,0,0,0
4750,77,106,11,73,255,0,0,0
4760,79,105,11,74,255,0,0,0
4770,81,105,11,75,255,0,0,0
4780,82,104,12,76,255,0,0,0
4790,84,103,12,77,255,0,0,0
4800,86,102,12,78,255,0,0,0
4810,88,101,12,79,255,0,0,0
4820,90,100,13,80,255,0,0,0
4830,92,99,13,81,255,0,0,0
4840,94,99,13,82,255,0,0,0
4850,96,98,14,83,255,0,0,0
4860,98,97,14,84,255,0,0,0
4870,100,96,14,84,255,0,0,0
4880,102,95,15,85,255,0,0,0
4890,104,94,15,86,255,0,0,0
4900,106,94,15,87,255,0,0,0
4910,108,93,16,88,255,0,0,0
4920,110,92,16,89,255,0,0,0
4930,112,91,16,90,255,0,0,0
4940,114,90,17,91,255,0,0,0
4950,116,89,17,92,255,0,0,0
4960,117,88,18,93,255,0,0,0
4970,119,88,18,94,255,0,0,0
4980,121,87,18,95,255,0,0,0
4990,123,86,19,96,255,0,0,0
5000,125,85,19,97,255,0,0,0
5010,127,84,19,98,255,0,0,0
5020,130,83,20,99,255,0,0,0
5030,132,82,20,99,254,0,0,0
5040,134,82,21,100,252,0,0,0
5050,136,81,21,101,251,0,0,0
5060,138,80,21,102,250,0,0,0
5070,139,79,22,103,249,0,0,0
5080,141,78,22,104,247,0,0,0
5090,143,77,23,105,246,0,0,0
5100,145,76,23,106,245,0,0,0
5110,147,76,23,107,244,0,0,0
5120,149,75,24,108,242,0,0,0
5130,151,74,24,109,241,0,0,0
5140,153,73,25,109,240,0,0,0
5150,155,72,25,110,238,0,0,0
5160,157,71,26,111,237,0,0,0
5170,159,71,26,112,236,0,0,0
5180,161,70,26,113,235,0,0,0
5190,163,69,27,114,233,0,0,0
5200,165,68,27,115,232,0,0,0
5210,167,67,28,116,231,0,0,0
5220,169,66,28,117,230,0,0,0
5230,171,65,29,118,228,0,0,0
5240,173,65,29,118,227,0,0,0
5250,174,64,30,119,226,0,0,0
5260,176,63,30,120,224,0,0,0
5270,178,62,31,121,223,0,0,0
5280,180,61,31,122,222,0,0,0
5290,182,60,32,123,221,0,0,0
5300,184,60,32,124,219,0,0,0
5310,185,59,33,125,218,0,0,0
5320,187,58,33,125,217,0,0,0
5330,189,57,33,126,215,0,0,0
5340,191,56,34,127,214,0,0,0
5350,192,55,34,128,213,0,0,0
5360,194,54,35,129,212,0,0,0
5370,196,54,36,130,210,0,0,0
5380,198,53,36,131,209,0,0,0
5390,199,52,37,132,208,0,0,0
5400,201,51,37,132,207,0,0,0
5410,202,50,38,133,205,0,0,0
5420,204,49,38,134,204,0,0,0
5430,206,48,39,135,203,0,0,0
5440,207,48,39,136,201,0,0,0
5450,209,47,40,137,200,0,0,0
5460,210,46,40,137,199,0,0,0
5470,212,45,41,138,198,0,0,0
5480,213,44,41,139,196,0,0,0
5490,215,43,42,140,195,0,0,0
5500,216,42,42,141,194,0,0,0
5510,218,42,43,142,193,0,0,0
5520,219,41,44,143,191,0,0,0
5530,220,40,44,143,190,0,0,0
5540,222,39,45,144,189,0,0,0
5550,223,38,45,145,187,0,0,0
5560,224,37,46,146,186,0,0,0
5570,226,37,46,147,185,0,0,0
5580,227,36,47,147,184,0,0,0
5590,228,35,48,148,182,0,0,0
5600,229,34,48,149,181,0,0,0
5610,231,33,49,150,180,0,0,0
5620,232,32,49,151,178,0,0,0
5630,233,31,50,152,177,0,0,0
5640,234,31,50,152,176,0,0,0
5650,235,30,51,153,175,0,0,0
5660,236,29,52,154,173,0,0,0
5670,237,28,52,155,172,0,0,0
5680,238,27,53,155,171,0,0,0
5690,239,26,54,156,170,0,0,0
5700,240,26,54,157,168,0,0,0
5710,241,25,55,158,167,0,0,0
